tricode,pp,pk,ppgf,competition_name,tid,type,win,goals_for,goals_against,game_count,team_name,win_pct,avg_gf,avg_ga
OTT,423,372,65.0,2013 NHL Regular Season,32,2,35,238.0,271.0,81,Ottawa Senators,0.43209876543209874,2.9382716049382718,3.345679012345679
PHI,409,383,75.0,2013 NHL Regular Season,14,2,42,239.0,238.0,81,Philadelphia Flyers,0.5185185185185185,2.950617283950617,2.9382716049382718
PHX,339,349,68.0,2013 NHL Regular Season,50,2,37,226.0,240.0,82,Phoenix Coyotes,0.45121951219512196,2.7560975609756095,2.926829268292683
PIT,333,356,79.0,2013 NHL Regular Season,8,2,49,241.0,202.0,80,Pittsburgh Penguins,0.6125,3.0125,2.525
SJS,286,358,59.0,2013 NHL Regular Season,16,2,51,260.0,209.0,82,San Jose Sharks,0.6219512195121951,3.1707317073170733,2.548780487804878
STL,401,394,81.0,2013 NHL Regular Season,7,2,52,260.0,200.0,82,St. Louis Blues,0.6341463414634146,3.1707317073170733,2.4390243902439024
TBL,332,335,40.0,2013 NHL Regular Season,25,2,46,244.0,218.0,81,Tampa Bay Lightning,0.5679012345679012,3.0123456790123457,2.691358024691358
TOR,362,342,61.0,2013 NHL Regular Season,1,2,38,231.0,250.0,79,Toronto Maple Leafs,0.4810126582278481,2.9240506329113924,3.1645569620253164
VAN,362,332,57.0,2013 NHL Regular Season,53,2,34,191.0,216.0,78,Vancouver Canucks,0.4358974358974359,2.448717948717949,2.769230769230769
WPG,367,344,27.0,2013 NHL Regular Season,4,2,36,235.0,249.0,81,Winnipeg Jets,0.4444444444444444,2.9012345679012346,3.074074074074074
WSH,354,363,81.0,2013 NHL Regular Season,5,2,36,242.0,251.0,80,Washington Capitals,0.45,3.025,3.1375
ANA,65,56,12.0,2014 NHL Playoff,21,3,11,57.0,42.0,16,Anaheim Ducks,0.6875,3.5625,2.625
CGY,51,53,7.0,2014 NHL Playoff,11,3,5,27.0,33.0,11,Calgary Flames,0.45454545454545453,2.4545454545454546,3.0
CHI,71,74,15.0,2014 NHL Playoff,6,3,16,69.0,60.0,23,Chicago Blackhawks,0.6956521739130435,3.0,2.608695652173913
DET,38,39,9.0,2014 NHL Playoff,18,3,3,15.0,17.0,7,Detroit Red Wings,0.42857142857142855,2.142857142857143,2.4285714285714284
MIN,19,27,7.0,2014 NHL Playoff,35,3,4,24.0,27.0,10,Minnesota Wild,0.4,2.4,2.7
MTL,54,49,7.0,2014 NHL Playoff,2,3,6,25.0,29.0,12,Montréal Canadiens,0.5,2.0833333333333335,2.4166666666666665
NSH,24,28,6.0,2014 NHL Playoff,19,3,2,21.0,19.0,6,Nashville Predators,0.3333333333333333,3.5,3.1666666666666665
NYI,22,19,,2014 NHL Playoff,51,3,3,15.0,16.0,7,New York Islanders,0.42857142857142855,2.142857142857143,2.2857142857142856
NYR,57,74,15.0,2014 NHL Playoff,28,3,11,43.0,35.0,18,New York Rangers,0.6111111111111112,2.388888888888889,1.9444444444444444
OTT,26,24,5.0,2014 NHL Playoff,32,3,2,12.0,12.0,6,Ottawa Senators,0.3333333333333333,2.0,2.0
PIT,23,15,2.0,2014 NHL Playoff,8,3,1,8.0,11.0,5,Pittsburgh Penguins,0.2,1.6,2.2
STL,16,13,2.0,2014 NHL Playoff,7,3,2,14.0,17.0,6,St. Louis Blues,0.3333333333333333,2.3333333333333335,2.8333333333333335
TBL,106,104,16.0,2014 NHL Playoff,25,3,13,59.0,60.0,25,Tampa Bay Lightning,0.52,2.36,2.4
VAN,29,27,3.0,2014 NHL Playoff,53,3,2,14.0,18.0,6,Vancouver Canucks,0.3333333333333333,2.3333333333333335,3.0
WPG,14,14,2.0,2014 NHL Playoff,4,3,0,9.0,16.0,4,Winnipeg Jets,0.0,2.25,4.0
WSH,43,42,3.0,2014 NHL Playoff,5,3,7,28.0,28.0,14,Washington Capitals,0.5,2.0,2.0
ANA,339,306,39.0,2014 NHL Regular Season,21,2,50,241.0,225.0,80,Anaheim Ducks,0.625,3.0125,2.8125
ARI,330,288,52.0,2014 NHL Regular Season,43,2,23,169.0,274.0,81,Arizona Coyotes,0.2839506172839506,2.0864197530864197,3.382716049382716
BOS,308,279,48.0,2014 NHL Regular Season,20,2,41,217.0,212.0,81,Boston Bruins,0.5061728395061729,2.6790123456790123,2.617283950617284
BUF,325,293,36.0,2014 NHL Regular Season,17,2,23,166.0,277.0,81,Buffalo Sabres,0.2839506172839506,2.049382716049383,3.419753086419753
CAR,239,289,55.0,2014 NHL Regular Season,66,2,30,191.0,228.0,82,Carolina Hurricanes,0.36585365853658536,2.3292682926829267,2.7804878048780486
CBJ,380,329,59.0,2014 NHL Regular Season,52,2,41,238.0,251.0,80,Columbus Blue Jackets,0.5125,2.975,3.1375
