tricode,pp,pk,ppgf,competition_name,tid,type,win,goals_for,goals_against,game_count,team_name,win_pct,avg_gf,avg_ga
ANA,401,378,92.0,2010 NHL Regular Season,21,2,43,227.0,225.0,78,Anaheim Ducks,0.5512820512820513,2.91025641025641,2.8846153846153846
ATL,338,341,35.0,2010 NHL Regular Season,11366,2,33,223.0,263.0,79,Atlanta Thrashers,0.4177215189873418,2.8227848101265822,3.329113924050633
BOS,368,370,74.0,2010 NHL Regular Season,20,2,46,250.0,200.0,82,Boston Bruins,0.5609756097560976,3.048780487804878,2.4390243902439024
BUF,393,364,83.0,2010 NHL Regular Season,17,2,43,251.0,235.0,82,Buffalo Sabres,0.524390243902439,3.0609756097560976,2.8658536585365852
CAR,338,427,79.0,2010 NHL Regular Season,66,2,40,239.0,242.0,82,Carolina Hurricanes,0.4878048780487805,2.9146341463414633,2.951219512195122
CBJ,423,416,45.0,2010 NHL Regular Season,52,2,33,221.0,260.0,81,Columbus Blue Jackets,0.4074074074074074,2.728395061728395,3.2098765432098766
CGY,343,374,90.0,2010 NHL Regular Season,11,2,40,250.0,241.0,80,Calgary Flames,0.5,3.125,3.0125
CHI,296,310,93.0,2010 NHL Regular Season,6,2,41,246.0,222.0,78,Chicago Blackhawks,0.5256410256410257,3.1538461538461537,2.8461538461538463
COL,390,338,61.0,2010 NHL Regular Season,22,2,28,218.0,272.0,79,Colorado Avalanche,0.35443037974683544,2.759493670886076,3.4430379746835444
DAL,382,416,72.0,2010 NHL Regular Season,46,2,42,237.0,234.0,81,Dallas Stars,0.5185185185185185,2.925925925925926,2.888888888888889
DET,325,339,70.0,2010 NHL Regular Season,18,2,45,255.0,235.0,80,Detroit Red Wings,0.5625,3.1875,2.9375
EDM,425,404,63.0,2010 NHL Regular Season,10,2,25,194.0,267.0,80,Edmonton Oilers,0.3125,2.425,3.3375
FLA,304,306,48.0,2010 NHL Regular Season,45,2,30,198.0,232.0,81,Florida Panthers,0.37037037037037035,2.4444444444444446,2.8641975308641974
LAK,354,366,77.0,2010 NHL Regular Season,41,2,46,223.0,202.0,81,Los Angeles Kings,0.5679012345679012,2.753086419753086,2.493827160493827
MIN,375,359,72.0,2010 NHL Regular Season,35,2,38,208.0,237.0,80,Minnesota Wild,0.475,2.6,2.9625
MTL,399,363,69.0,2010 NHL Regular Season,2,2,43,213.0,203.0,79,Montréal Canadiens,0.5443037974683544,2.6962025316455698,2.569620253164557
NJD,281,279,53.0,2010 NHL Regular Season,29,2,37,172.0,199.0,80,New Jersey Devils,0.4625,2.15,2.4875
NSH,315,308,53.0,2010 NHL Regular Season,19,2,43,215.0,189.0,80,Nashville Predators,0.5375,2.6875,2.3625
NYI,449,430,78.0,2010 NHL Regular Season,51,2,29,231.0,271.0,81,New York Islanders,0.35802469135802467,2.8518518518518516,3.345679012345679
NYR,362,398,71.0,2010 NHL Regular Season,28,2,43,233.0,197.0,80,New York Rangers,0.5375,2.9125,2.4625
OTT,394,352,64.0,2010 NHL Regular Season,32,2,31,188.0,251.0,81,Ottawa Senators,0.38271604938271603,2.3209876543209877,3.0987654320987654
PHI,379,369,42.0,2010 NHL Regular Season,14,2,44,252.0,222.0,77,Philadelphia Flyers,0.5714285714285714,3.272727272727273,2.883116883116883
PHX,350,339,71.0,2010 NHL Regular Season,50,2,42,230.0,225.0,79,Phoenix Coyotes,0.5316455696202531,2.911392405063291,2.848101265822785
PIT,457,444,62.0,2010 NHL Regular Season,8,2,48,242.0,195.0,81,Pittsburgh Penguins,0.5925925925925926,2.9876543209876543,2.4074074074074074
SJS,348,363,86.0,2010 NHL Regular Season,16,2,46,245.0,214.0,81,San Jose Sharks,0.5679012345679012,3.0246913580246915,2.6419753086419755
STL,387,384,39.0,2010 NHL Regular Season,7,2,34,237.0,230.0,77,St. Louis Blues,0.44155844155844154,3.0779220779220777,2.987012987012987
TBL,375,397,43.0,2010 NHL Regular Season,25,2,43,245.0,243.0,81,Tampa Bay Lightning,0.5308641975308642,3.0246913580246915,3.0
TOR,368,426,46.0,2010 NHL Regular Season,1,2,36,223.0,259.0,82,Toronto Maple Leafs,0.43902439024390244,2.7195121951219514,3.158536585365854
VAN,372,362,97.0,2010 NHL Regular Season,53,2,52,263.0,182.0,80,Vancouver Canucks,0.65,3.2875,2.275
WSH,360,329,69.0,2010 NHL Regular Season,5,2,45,219.0,201.0,81,Washington Capitals,0.5555555555555556,2.7037037037037037,2.4814814814814814
ANA,353,363,67.0,2013 NHL Regular Season,21,2,53,272.0,217.0,81,Anaheim Ducks,0.654320987654321,3.3580246913580245,2.6790123456790123
BOS,341,309,69.0,2013 NHL Regular Season,20,2,54,265.0,181.0,82,Boston Bruins,0.6585365853658537,3.231707317073171,2.207317073170732
BUF,332,318,40.0,2013 NHL Regular Season,17,2,21,166.0,254.0,80,Buffalo Sabres,0.2625,2.075,3.175
CAR,286,323,51.0,2013 NHL Regular Season,66,2,35,203.0,227.0,80,Carolina Hurricanes,0.4375,2.5375,2.8375
CBJ,360,353,47.0,2013 NHL Regular Season,52,2,42,232.0,218.0,81,Columbus Blue Jackets,0.5185185185185185,2.8641975308641974,2.691358024691358
CGY,300,311,28.0,2013 NHL Regular Season,11,2,34,211.0,241.0,80,Calgary Flames,0.425,2.6375,3.0125
CHI,290,305,73.0,2013 NHL Regular Season,6,2,46,278.0,231.0,82,Chicago Blackhawks,0.5609756097560976,3.3902439024390243,2.817073170731707
COL,314,315,23.0,2013 NHL Regular Season,22,2,52,249.0,209.0,80,Colorado Avalanche,0.65,3.1125,2.6125
DAL,350,369,58.0,2013 NHL Regular Season,46,2,40,238.0,232.0,82,Dallas Stars,0.4878048780487805,2.902439024390244,2.8292682926829267
DET,326,311,65.0,2013 NHL Regular Season,18,2,38,225.0,231.0,80,Detroit Red Wings,0.475,2.8125,2.8875
EDM,370,365,54.0,2013 NHL Regular Season,10,2,27,201.0,269.0,80,Edmonton Oilers,0.3375,2.5125,3.3625
FLA,320,323,39.0,2013 NHL Regular Season,45,2,28,199.0,273.0,80,Florida Panthers,0.35,2.4875,3.4125
LAK,361,355,59.0,2013 NHL Regular Season,41,2,45,207.0,175.0,80,Los Angeles Kings,0.5625,2.5875,2.1875
MIN,320,322,61.0,2013 NHL Regular Season,35,2,43,216.0,215.0,82,Minnesota Wild,0.524390243902439,2.6341463414634148,2.6219512195121952
